aX,aY,aZ,gX,gY,gZ
0.960,-0.533,-0.306,-39.795,8.850,68.237
0.995,-0.406,-0.217,-43.396,6.958,66.467
0.975,-0.268,-0.184,-48.523,1.282,60.730
0.959,-0.150,-0.227,-44.678,-3.540,46.875
0.969,-0.131,-0.344,-34.058,2.136,28.992
0.885,-0.243,-0.614,-26.550,3.906,9.583
0.818,-0.354,-0.839,-26.489,0.916,-4.456
0.740,-0.435,-1.005,-25.574,-6.104,-13.062
0.657,-0.463,-1.198,-20.996,-21.118,-17.029
0.629,-0.490,-1.332,-13.977,-43.396,-15.137
0.602,-0.479,-1.348,-11.169,-69.824,-9.827
0.599,-0.443,-1.326,-9.155,-96.375,-4.028
0.611,-0.422,-1.301,-5.737,-118.774,1.282
0.613,-0.361,-1.284,-4.211,-138.916,5.066
0.645,-0.328,-1.301,-4.150,-157.715,6.226
0.658,-0.283,-1.333,-4.211,-176.941,4.639
0.645,-0.328,-1.282,-8.606,-195.801,2.991
0.613,-0.329,-1.265,-14.832,-218.140,-0.183
0.550,-0.300,-1.225,-25.391,-241.028,0.793
0.463,-0.207,-1.041,-43.274,-266.724,5.920
0.542,-0.107,-0.865,-58.960,-298.706,13.306
0.482,-0.011,-0.594,-48.767,-333.557,17.639
0.528,0.059,-0.410,-28.503,-373.291,19.348
0.328,0.032,-0.298,-5.554,-412.048,25.635
0.260,0.091,-0.149,22.522,-449.097,24.719
0.197,0.127,0.047,47.546,-489.685,19.165
0.044,0.108,0.222,62.744,-531.372,11.963
-0.234,0.092,0.478,57.861,-567.017,-3.967
-0.496,0.053,0.752,21.545,-585.754,-27.100
-0.651,-0.023,1.000,-49.377,-579.346,-48.279
-0.737,-0.099,1.263,-135.498,-542.236,-61.768
-0.734,-0.005,1.551,-205.261,-478.271,-67.627
-0.628,0.258,1.968,-225.098,-392.883,-74.524
-0.562,0.393,2.131,-187.927,-305.237,-85.510
-0.575,0.349,2.075,-131.775,-229.736,-98.145
-0.598,0.296,1.987,-102.356,-172.607,-103.882
-0.677,0.333,1.956,-86.975,-138.428,-104.980
-0.764,0.354,1.979,-64.270,-125.061,-109.802
-0.778,0.310,1.981,-54.199,-130.249,-109.131
-0.736,0.159,1.953,-55.298,-138.672,-97.717
-0.674,-0.022,1.916,-53.040,-135.376,-84.839
-0.583,-0.187,1.862,-50.049,-116.333,-74.158
-0.505,-0.280,1.850,-47.119,-85.693,-64.758
-0.447,-0.273,1.841,-42.603,-52.551,-56.702
-0.276,-0.409,2.470,-38.940,-24.414,-46.204
-0.268,-0.226,2.675,-34.607,-19.409,-53.650
-0.634,-0.038,1.894,-3.723,-18.921,-65.552
-0.592,-0.054,1.473,36.499,32.593,-38.818
-0.332,-0.104,1.198,46.570,71.411,3.967
-0.178,-0.114,0.998,27.222,78.613,39.124
-0.079,-0.065,0.846,-0.122,73.669,55.115
0.081,-0.065,0.872,-16.235,74.768,57.739
0.235,-0.117,0.962,-14.465,74.585,51.331
0.287,-0.177,0.977,-4.944,60.852,37.048
