aX,aY,aZ,gX,gY,gZ
0.187,0.089,1.032,-21.057,1.587,36.255
0.205,0.099,0.943,0.610,-3.906,34.912
0.193,0.108,0.912,-1.465,-14.282,27.588
0.186,0.176,0.940,-2.075,-14.709,11.230
0.197,0.216,1.057,-0.977,-6.714,-7.751
0.173,0.216,1.198,1.343,1.953,-25.391
0.169,0.182,1.302,8.118,13.855,-39.673
0.124,0.155,1.301,18.494,30.090,-49.133
0.077,0.159,1.233,28.259,46.448,-52.795
0.046,0.150,1.099,31.128,52.856,-49.377
0.082,0.128,1.002,29.419,49.866,-44.067
0.128,0.115,0.968,31.433,43.152,-41.931
0.145,0.158,1.014,35.278,34.607,-43.030
0.125,0.239,1.176,36.682,30.029,-45.044
0.096,0.286,1.282,42.786,34.729,-53.040
0.027,0.251,1.379,56.274,52.490,-68.604
-0.057,0.205,1.557,58.350,67.627,-80.383
-0.095,0.178,1.738,46.387,83.374,-81.665
-0.102,0.107,1.805,32.715,101.929,-73.608
-0.107,0.109,1.793,23.865,120.972,-61.462
-0.083,0.140,1.769,23.071,138.000,-49.866
-0.036,0.169,1.781,31.799,150.757,-40.283
0.022,0.196,1.815,49.622,159.180,-34.790
0.065,0.220,1.762,72.693,162.354,-33.203
0.107,0.207,1.667,94.299,162.231,-32.715
0.133,0.149,1.554,109.375,158.630,-32.410
0.153,0.114,1.465,116.943,154.236,-33.142
0.201,0.070,1.373,118.103,154.724,-34.973
0.227,0.005,1.466,112.183,157.104,-36.621
0.201,-0.052,1.103,97.229,155.273,-40.039
0.351,-0.021,1.190,86.670,176.147,-46.265
0.403,-0.006,1.196,78.308,191.345,-44.800
0.418,-0.026,1.162,73.792,201.843,-40.833
0.453,-0.060,1.091,74.585,203.064,-41.504
0.458,-0.081,0.966,75.684,193.481,-44.861
0.457,-0.080,0.878,75.134,183.655,-47.180
0.475,-0.077,0.799,74.341,182.312,-48.462
0.480,-0.064,0.781,72.144,188.904,-49.438
0.472,-0.098,0.756,69.031,197.021,-51.270
0.458,-0.133,0.704,64.209,201.416,-54.016
0.473,-0.201,0.623,58.594,204.346,-56.335
0.497,-0.264,0.521,53.223,206.604,-55.664
0.510,-0.282,0.466,49.438,207.947,-51.086
0.524,-0.277,0.389,51.270,204.834,-45.288
0.486,-0.242,0.355,58.472,199.829,-41.260
0.484,-0.206,0.330,70.251,196.289,-39.551
0.511,-0.200,0.331,81.116,190.796,-39.429
0.508,-0.235,0.278,86.365,181.702,-38.940
0.490,-0.286,0.216,84.839,171.204,-38.147
0.429,-0.378,0.303,77.759,163.940,-37.170
0.310,-0.380,-0.038,66.650,153.748,-36.377
