Red,Green,Blue
0.294,0.358,0.348
0.318,0.364,0.318
0.276,0.483,0.241
0.185,0.519,0.296
0.200,0.533,0.267
0.200,0.533,0.267
0.194,0.516,0.290
0.187,0.531,0.281
0.187,0.531,0.281
0.187,0.531,0.281
0.187,0.531,0.281
0.194,0.516,0.290
0.194,0.516,0.290
0.194,0.516,0.290
0.194,0.516,0.290
0.200,0.533,0.267
0.200,0.533,0.267
0.200,0.533,0.267
0.207,0.517,0.276
0.179,0.536,0.286
0.192,0.538,0.269
0.312,0.437,0.250
0.343,0.343,0.314
0.308,0.346,0.346
0.296,0.348,0.356
0.295,0.348,0.358
0.293,0.347,0.360
0.294,0.348,0.358
0.303,0.349,0.349
0.352,0.341,0.307
0.179,0.536,0.286
0.194,0.516,0.290
0.187,0.531,0.281
0.187,0.531,0.281
0.187,0.531,0.281
0.206,0.500,0.294
0.200,0.514,0.286
0.211,0.500,0.289
0.205,0.487,0.308
0.220,0.488,0.293
0.220,0.488,0.293
0.220,0.488,0.293
0.220,0.488,0.293
0.214,0.476,0.310
0.220,0.488,0.293
0.205,0.487,0.308
0.211,0.500,0.289
0.200,0.514,0.286
0.200,0.514,0.286
0.187,0.531,0.281
0.187,0.531,0.281
0.194,0.516,0.290
0.194,0.516,0.290
0.194,0.516,0.290
0.194,0.516,0.290
0.200,0.533,0.267
0.200,0.533,0.267
0.172,0.552,0.276
0.185,0.556,0.259
0.200,0.533,0.267
0.194,0.516,0.290
0.194,0.516,0.290
0.194,0.516,0.290
0.194,0.516,0.290
0.194,0.516,0.290
0.194,0.516,0.290
0.194,0.516,0.290
0.200,0.533,0.267
0.200,0.533,0.267
0.179,0.536,0.286
0.179,0.536,0.286
0.200,0.533,0.267
0.200,0.533,0.267
0.194,0.516,0.290
0.194,0.516,0.290
0.194,0.516,0.290
0.194,0.516,0.290
0.194,0.516,0.290
0.194,0.516,0.290
0.194,0.516,0.290
0.194,0.516,0.290
0.200,0.533,0.267
0.200,0.533,0.267
0.200,0.533,0.267
0.310,0.448,0.241
0.348,0.370,0.283
0.341,0.386,0.273
0.296,0.444,0.259
0.192,0.538,0.269
0.194,0.516,0.290
0.194,0.516,0.290
0.187,0.531,0.281
0.212,0.515,0.273
0.212,0.515,0.273
0.206,0.500,0.294
0.200,0.514,0.286
0.200,0.514,0.286
0.200,0.514,0.286
0.200,0.514,0.286
0.200,0.514,0.286
0.206,0.500,0.294
0.187,0.531,0.281
0.187,0.531,0.281
0.200,0.533,0.267
0.200,0.533,0.267
0.207,0.517,0.276
0.200,0.533,0.267
0.200,0.533,0.267
0.200,0.533,0.267
0.194,0.516,0.290
0.194,0.516,0.290
0.194,0.516,0.290
0.187,0.531,0.281
0.187,0.531,0.281
0.212,0.515,0.273
0.206,0.500,0.294
0.206,0.500,0.294
0.206,0.500,0.294
0.212,0.515,0.273
0.212,0.515,0.273
0.187,0.531,0.281
0.194,0.516,0.290
0.200,0.533,0.267
0.200,0.533,0.267
0.200,0.533,0.267
0.179,0.536,0.286
0.179,0.536,0.286
0.200,0.533,0.267
0.200,0.533,0.267
0.194,0.516,0.290
0.194,0.516,0.290
0.187,0.531,0.281
0.187,0.531,0.281
0.187,0.531,0.281
0.187,0.531,0.281
0.212,0.515,0.273
0.187,0.531,0.281
0.187,0.531,0.281
0.187,0.531,0.281
0.187,0.531,0.281
0.187,0.531,0.281
0.194,0.516,0.290
0.194,0.516,0.290
0.200,0.533,0.267
0.200,0.533,0.267
0.200,0.533,0.267
0.179,0.536,0.286
0.179,0.536,0.286
0.192,0.538,0.269
0.200,0.520,0.280
0.200,0.520,0.280
0.200,0.520,0.280
0.192,0.538,0.269
0.207,0.517,0.276
0.200,0.533,0.267
0.200,0.533,0.267
0.194,0.516,0.290
0.212,0.515,0.273
0.206,0.500,0.294
0.265,0.449,0.286
0.325,0.373,0.301
0.315,0.363,0.323
0.326,0.370,0.304
0.313,0.388,0.299
0.261,0.457,0.283
0.212,0.515,0.273
0.219,0.500,0.281
0.222,0.519,0.259
0.192,0.538,0.269
0.179,0.536,0.286
0.179,0.536,0.286
0.179,0.536,0.286
0.200,0.533,0.267
0.200,0.533,0.267
0.194,0.516,0.290
0.194,0.516,0.290
0.187,0.531,0.281
0.187,0.531,0.281
0.206,0.500,0.294
0.206,0.500,0.294
0.206,0.500,0.294
0.212,0.515,0.273
0.187,0.531,0.281
0.187,0.531,0.281
0.200,0.533,0.267
0.200,0.533,0.267
0.179,0.536,0.286
0.200,0.533,0.267
0.194,0.516,0.290
0.212,0.515,0.273
0.200,0.514,0.286
0.211,0.500,0.289
0.205,0.487,0.308
0.214,0.476,0.310
0.214,0.476,0.310
0.227,0.477,0.295
0.209,0.488,0.302
0.214,0.476,0.310
0.214,0.476,0.310
0.214,0.476,0.310
0.214,0.476,0.310
0.214,0.476,0.310
0.220,0.488,0.293
0.211,0.500,0.289
0.200,0.514,0.286
0.212,0.515,0.273
0.187,0.531,0.281
0.200,0.533,0.267
0.179,0.536,0.286
0.200,0.533,0.267
0.200,0.533,0.267
0.194,0.516,0.290
0.187,0.531,0.281
0.187,0.531,0.281
0.187,0.531,0.281
0.187,0.531,0.281
0.194,0.516,0.290
0.194,0.516,0.290
0.194,0.516,0.290
0.200,0.533,0.267
0.200,0.533,0.267
0.200,0.533,0.267
0.200,0.533,0.267
0.179,0.536,0.286
0.179,0.536,0.286
0.286,0.476,0.238
0.344,0.406,0.250
0.333,0.394,0.273
0.320,0.440,0.240
0.333,0.333,0.333
0.357,0.357,0.286
0.214,0.536,0.250
0.200,0.533,0.267
0.194,0.516,0.290
0.187,0.531,0.281
0.206,0.500,0.294
0.200,0.514,0.286
0.211,0.500,0.289
0.205,0.487,0.308
0.205,0.487,0.308
0.220,0.488,0.293
0.220,0.488,0.293
0.205,0.487,0.308
0.205,0.487,0.308
0.211,0.500,0.289
0.211,0.500,0.289
0.194,0.500,0.306
0.200,0.514,0.286
0.200,0.514,0.286
0.206,0.500,0.294
0.206,0.500,0.294
0.187,0.531,0.281
0.187,0.531,0.281
0.194,0.516,0.290
0.194,0.516,0.290
0.194,0.516,0.290
0.187,0.531,0.281
0.187,0.531,0.281
0.187,0.531,0.281
0.187,0.531,0.281
0.187,0.531,0.281
0.212,0.515,0.273
0.212,0.515,0.273
0.212,0.515,0.273
0.200,0.514,0.286
0.200,0.514,0.286
0.200,0.514,0.286
0.200,0.514,0.286
0.212,0.515,0.273
0.212,0.515,0.273
0.200,0.533,0.267
0.200,0.533,0.267
0.194,0.516,0.290
0.194,0.516,0.290
0.194,0.516,0.290
0.194,0.516,0.290
0.194,0.516,0.290
0.200,0.533,0.267
0.179,0.536,0.286
0.262,0.452,0.286
0.302,0.360,0.337
