Red,Green,Blue
0.462,0.231,0.308
0.478,0.217,0.304
0.476,0.190,0.333
0.500,0.200,0.300
0.474,0.211,0.316
0.500,0.167,0.333
0.500,0.187,0.312
0.444,0.222,0.333
0.474,0.211,0.316
0.474,0.211,0.316
0.474,0.211,0.316
0.444,0.222,0.333
0.444,0.222,0.333
0.444,0.222,0.333
0.500,0.187,0.312
0.462,0.231,0.308
0.462,0.231,0.308
0.500,0.214,0.286
0.467,0.200,0.333
0.467,0.200,0.333
0.467,0.200,0.333
0.500,0.214,0.286
0.467,0.200,0.333
0.500,0.187,0.312
0.500,0.187,0.312
0.500,0.187,0.312
0.500,0.187,0.312
0.500,0.187,0.312
0.500,0.187,0.312
0.500,0.187,0.312
0.500,0.187,0.312
0.500,0.187,0.312
0.500,0.187,0.312
0.500,0.187,0.312
0.500,0.187,0.312
0.500,0.214,0.286
0.500,0.214,0.286
0.500,0.214,0.286
0.500,0.167,0.333
0.500,0.167,0.333
0.500,0.214,0.286
0.500,0.214,0.286
0.500,0.214,0.286
0.500,0.214,0.286
0.500,0.214,0.286
0.500,0.214,0.286
0.500,0.214,0.286
0.467,0.200,0.333
0.500,0.214,0.286
0.500,0.214,0.286
0.500,0.187,0.312
0.500,0.214,0.286
0.467,0.200,0.333
0.500,0.214,0.286
0.500,0.214,0.286
0.500,0.214,0.286
0.500,0.214,0.286
0.500,0.214,0.286
0.467,0.200,0.333
0.500,0.214,0.286
0.500,0.214,0.286
0.467,0.200,0.333
0.467,0.200,0.333
0.500,0.214,0.286
0.467,0.200,0.333
0.467,0.200,0.333
0.500,0.214,0.286
0.500,0.214,0.286
0.500,0.214,0.286
0.500,0.214,0.286
0.467,0.200,0.333
0.500,0.214,0.286
0.500,0.214,0.286
0.500,0.214,0.286
0.467,0.200,0.333
0.500,0.214,0.286
0.500,0.214,0.286
0.500,0.214,0.286
0.500,0.214,0.286
0.500,0.214,0.286
0.500,0.214,0.286
0.467,0.200,0.333
0.500,0.214,0.286
0.500,0.214,0.286
0.500,0.214,0.286
0.500,0.214,0.286
0.500,0.214,0.286
0.500,0.167,0.333
0.500,0.214,0.286
0.500,0.214,0.286
0.500,0.214,0.286
0.467,0.200,0.333
0.467,0.200,0.333
0.467,0.200,0.333
0.467,0.200,0.333
0.500,0.187,0.312
0.500,0.187,0.312
0.500,0.187,0.312
0.500,0.187,0.312
0.500,0.187,0.312
0.500,0.187,0.312
0.533,0.200,0.267
0.500,0.187,0.312
0.500,0.187,0.312
0.533,0.200,0.267
0.533,0.200,0.267
0.500,0.214,0.286
0.500,0.214,0.286
0.500,0.214,0.286
0.500,0.214,0.286
0.500,0.214,0.286
0.500,0.214,0.286
0.500,0.214,0.286
0.500,0.214,0.286
0.500,0.214,0.286
0.500,0.214,0.286
0.500,0.214,0.286
0.500,0.214,0.286
0.538,0.154,0.308
0.462,0.231,0.308
0.500,0.167,0.333
0.500,0.214,0.286
0.500,0.214,0.286
0.500,0.214,0.286
0.500,0.214,0.286
0.467,0.200,0.333
0.500,0.187,0.312
0.474,0.211,0.316
0.500,0.200,0.300
