Red,Green,Blue
0.426,0.340,0.234
0.422,0.356,0.222
0.432,0.341,0.227
0.432,0.341,0.227
0.419,0.349,0.233
0.439,0.341,0.220
0.439,0.341,0.220
0.439,0.341,0.220
0.439,0.341,0.220
0.439,0.341,0.220
0.425,0.350,0.225
0.425,0.350,0.225
0.425,0.350,0.225
0.425,0.350,0.225
0.447,0.342,0.211
0.447,0.342,0.211
0.447,0.342,0.211
0.447,0.342,0.211
0.447,0.342,0.211
0.436,0.333,0.231
0.436,0.333,0.231
0.425,0.350,0.225
0.439,0.341,0.220
0.439,0.341,0.220
0.439,0.341,0.220
0.439,0.341,0.220
0.439,0.341,0.220
0.439,0.341,0.220
0.439,0.341,0.220
0.425,0.350,0.225
0.425,0.350,0.225
0.436,0.333,0.231
0.436,0.333,0.231
0.436,0.333,0.231
0.436,0.333,0.231
0.436,0.333,0.231
0.436,0.333,0.231
0.436,0.333,0.231
0.436,0.333,0.231
0.436,0.333,0.231
0.425,0.350,0.225
0.439,0.341,0.220
0.439,0.341,0.220
0.442,0.349,0.209
0.432,0.341,0.227
0.444,0.333,0.222
0.435,0.348,0.217
0.437,0.333,0.229
0.429,0.347,0.224
0.429,0.347,0.224
0.440,0.340,0.220
0.423,0.346,0.231
0.423,0.346,0.231
0.423,0.346,0.231
0.423,0.346,0.231
0.426,0.352,0.222
0.426,0.352,0.222
0.426,0.352,0.222
0.426,0.352,0.222
0.426,0.352,0.222
0.426,0.352,0.222
0.426,0.352,0.222
0.415,0.358,0.226
0.415,0.358,0.226
0.423,0.346,0.231
0.420,0.360,0.220
0.420,0.360,0.220
0.417,0.354,0.229
0.417,0.354,0.229
0.422,0.356,0.222
0.422,0.356,0.222
0.422,0.356,0.222
0.422,0.356,0.222
0.409,0.364,0.227
0.409,0.364,0.227
0.409,0.364,0.227
0.409,0.364,0.227
0.409,0.364,0.227
0.405,0.357,0.238
0.415,0.366,0.220
0.415,0.366,0.220
0.400,0.375,0.225
0.410,0.359,0.231
0.395,0.368,0.237
0.410,0.359,0.231
0.400,0.375,0.225
0.405,0.357,0.238
0.405,0.357,0.238
0.409,0.364,0.227
0.422,0.356,0.222
0.417,0.354,0.229
0.420,0.360,0.220
0.423,0.346,0.231
0.415,0.358,0.226
0.426,0.352,0.222
0.418,0.345,0.236
0.418,0.345,0.236
0.418,0.345,0.236
0.421,0.351,0.228
0.429,0.339,0.232
0.426,0.352,0.222
0.426,0.352,0.222
0.426,0.352,0.222
0.434,0.340,0.226
0.434,0.340,0.226
0.434,0.340,0.226
0.423,0.346,0.231
0.431,0.353,0.216
0.429,0.347,0.224
0.429,0.347,0.224
0.429,0.347,0.224
0.417,0.354,0.229
0.426,0.340,0.234
0.422,0.356,0.222
0.422,0.356,0.222
0.422,0.356,0.222
0.422,0.356,0.222
0.419,0.349,0.233
0.419,0.349,0.233
0.419,0.349,0.233
0.419,0.349,0.233
0.425,0.350,0.225
0.410,0.359,0.231
0.410,0.359,0.231
0.405,0.351,0.243
0.405,0.351,0.243
0.421,0.342,0.237
0.410,0.359,0.231
0.425,0.350,0.225
0.419,0.349,0.233
0.422,0.356,0.222
0.417,0.354,0.229
0.417,0.354,0.229
0.417,0.354,0.229
0.429,0.347,0.224
0.417,0.354,0.229
0.429,0.347,0.224
0.420,0.360,0.220
0.420,0.360,0.220
0.420,0.360,0.220
0.420,0.360,0.220
0.420,0.360,0.220
0.420,0.360,0.220
0.415,0.358,0.226
0.418,0.345,0.236
0.421,0.351,0.228
0.421,0.351,0.228
0.421,0.351,0.228
0.421,0.351,0.228
0.421,0.351,0.228
0.421,0.351,0.228
0.424,0.356,0.220
0.424,0.356,0.220
0.414,0.362,0.224
0.421,0.351,0.228
0.421,0.351,0.228
0.414,0.362,0.224
0.417,0.350,0.233
0.407,0.356,0.237
0.417,0.350,0.233
0.417,0.350,0.233
0.417,0.350,0.233
0.417,0.350,0.233
0.417,0.350,0.233
0.407,0.356,0.237
0.411,0.357,0.232
0.407,0.352,0.241
0.415,0.358,0.226
0.415,0.358,0.226
0.412,0.353,0.235
0.420,0.360,0.220
0.417,0.354,0.229
0.417,0.354,0.229
0.422,0.356,0.222
0.422,0.356,0.222
0.422,0.356,0.222
0.435,0.348,0.217
0.435,0.348,0.217
0.435,0.348,0.217
0.435,0.348,0.217
0.435,0.348,0.217
0.435,0.348,0.217
0.435,0.348,0.217
0.435,0.348,0.217
0.435,0.348,0.217
0.435,0.348,0.217
0.435,0.348,0.217
0.444,0.333,0.222
0.444,0.333,0.222
0.444,0.333,0.222
0.444,0.333,0.222
0.435,0.348,0.217
0.447,0.340,0.213
0.437,0.333,0.229
0.437,0.333,0.229
0.440,0.340,0.220
0.440,0.340,0.220
